"id","event","event_date","data_name","data_value"
"22233","clientLogIn","2020-08-12T07:03:38Z","clientId","p3"
"22233","clientLogIn","2020-08-12T07:03:38Z","referer","http://yanzuxu.nat300.top/game/193/810/p3/connected"
"22233","clientLogIn","2020-08-12T07:03:38Z","connection","keep-alive"
"22233","clientLogIn","2020-08-12T07:03:38Z","acceptLanguage","zh-CN,zh;q=0.9"
"22233","clientLogIn","2020-08-12T07:03:38Z","acceptEncoding","gzip, deflate"
"22233","clientLogIn","2020-08-12T07:03:38Z","userAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
"22233","clientLogIn","2020-08-12T07:03:38Z","host","yanzuxu.nat300.top"
"22233","clientLogIn","2020-08-12T07:03:38Z","ipAddress","192.168.31.144"
"22233","clientLogIn","2020-08-12T07:03:38Z","requestURI","/game/193/810/p3/state"
"22234","clientLogIn","2020-08-12T07:03:45Z","clientId","p4"
"22234","clientLogIn","2020-08-12T07:03:45Z","referer","http://yanzuxu.nat300.top/game/193/811/p4/connected"
"22234","clientLogIn","2020-08-12T07:03:45Z","connection","keep-alive"
"22234","clientLogIn","2020-08-12T07:03:45Z","acceptLanguage","zh-CN,zh;q=0.9,en-US;q=0.8,en;q=0.7"
"22234","clientLogIn","2020-08-12T07:03:45Z","acceptEncoding","gzip, deflate"
"22234","clientLogIn","2020-08-12T07:03:45Z","userAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36"
"22234","clientLogIn","2020-08-12T07:03:45Z","host","yanzuxu.nat300.top"
"22234","clientLogIn","2020-08-12T07:03:45Z","ipAddress","192.168.31.144"
"22234","clientLogIn","2020-08-12T07:03:45Z","requestURI","/game/193/811/p4/state"
"22235","StartedTutorial","2020-08-12T07:03:45Z","pid","p4"
"22236","clientLogIn","2020-08-12T07:03:51Z","clientId","p2"
"22236","clientLogIn","2020-08-12T07:03:51Z","referer","http://yanzuxu.nat300.top/game/193/811/p2/connected"
"22236","clientLogIn","2020-08-12T07:03:51Z","connection","keep-alive"
"22236","clientLogIn","2020-08-12T07:03:51Z","acceptLanguage","zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6"
"22236","clientLogIn","2020-08-12T07:03:51Z","acceptEncoding","gzip, deflate"
"22236","clientLogIn","2020-08-12T07:03:51Z","userAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"22236","clientLogIn","2020-08-12T07:03:51Z","host","yanzuxu.nat300.top"
"22236","clientLogIn","2020-08-12T07:03:51Z","ipAddress","192.168.31.144"
"22236","clientLogIn","2020-08-12T07:03:51Z","requestURI","/game/193/811/p2/state"
"22237","practice_distributeBW","2020-08-12T07:03:55Z","pid","p4"
"22237","practice_distributeBW","2020-08-12T07:03:55Z","pround","0"
"22237","practice_distributeBW","2020-08-12T07:03:55Z","p4_2","1"
"22237","practice_distributeBW","2020-08-12T07:03:55Z","p4_1","1"
"22237","practice_distributeBW","2020-08-12T07:03:55Z","p4_3","1"
"22238","clientLogIn","2020-08-12T07:03:55Z","clientId","p6"
"22238","clientLogIn","2020-08-12T07:03:55Z","referer","http://yanzuxu.nat300.top/game/193/811/p6/connected"
"22238","clientLogIn","2020-08-12T07:03:55Z","connection","keep-alive"
"22238","clientLogIn","2020-08-12T07:03:55Z","acceptLanguage","zh-CN,zh;q=0.9,en;q=0.8"
"22238","clientLogIn","2020-08-12T07:03:55Z","acceptEncoding","gzip, deflate"
"22238","clientLogIn","2020-08-12T07:03:55Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
"22238","clientLogIn","2020-08-12T07:03:55Z","host","yanzuxu.nat300.top"
"22238","clientLogIn","2020-08-12T07:03:55Z","ipAddress","192.168.31.144"
"22238","clientLogIn","2020-08-12T07:03:55Z","requestURI","/game/193/811/p6/state"
"22239","clientLogIn","2020-08-12T07:03:56Z","clientId","p5"
"22239","clientLogIn","2020-08-12T07:03:56Z","referer","http://yanzuxu.nat300.top/game/193/811/p5/connected"
"22239","clientLogIn","2020-08-12T07:03:56Z","connection","keep-alive"
"22239","clientLogIn","2020-08-12T07:03:56Z","acceptLanguage","en-GB,en;q=0.9,zh-CN;q=0.8,zh-TW;q=0.7,zh;q=0.6,ja;q=0.5"
"22239","clientLogIn","2020-08-12T07:03:56Z","acceptEncoding","gzip, deflate"
"22239","clientLogIn","2020-08-12T07:03:56Z","userAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
"22239","clientLogIn","2020-08-12T07:03:56Z","host","yanzuxu.nat300.top"
"22239","clientLogIn","2020-08-12T07:03:56Z","ipAddress","192.168.31.144"
"22239","clientLogIn","2020-08-12T07:03:56Z","requestURI","/game/193/811/p5/state"
"22240","StartedTutorial","2020-08-12T07:03:56Z","pid","p6"
"22241","StartedTutorial","2020-08-12T07:03:57Z","pid","p5"
"22242","StartedTutorial","2020-08-12T07:04:03Z","pid","p2"
"22243","clientLogIn","2020-08-12T07:04:06Z","connection","keep-alive"
"22243","clientLogIn","2020-08-12T07:04:06Z","acceptLanguage","zh-CN,zh;q=0.9,en;q=0.8,en-US;q=0.7"
"22243","clientLogIn","2020-08-12T07:04:06Z","acceptEncoding","gzip, deflate"
"22243","clientLogIn","2020-08-12T07:04:06Z","userAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36"
"22243","clientLogIn","2020-08-12T07:04:06Z","host","yanzuxu.nat300.top"
"22243","clientLogIn","2020-08-12T07:04:06Z","ipAddress","192.168.31.144"
"22243","clientLogIn","2020-08-12T07:04:06Z","requestURI","/game/193/811/p1/state"
"22243","clientLogIn","2020-08-12T07:04:06Z","clientId","p1"
"22243","clientLogIn","2020-08-12T07:04:06Z","referer","http://yanzuxu.nat300.top/game/193/811/p1/connected"
"22244","StartedTutorial","2020-08-12T07:04:08Z","pid","p1"
"22245","practice_distributeBW","2020-08-12T07:04:13Z","pid","p5"
"22245","practice_distributeBW","2020-08-12T07:04:13Z","pround","0"
"22245","practice_distributeBW","2020-08-12T07:04:13Z","p5_1","10"
"22245","practice_distributeBW","2020-08-12T07:04:13Z","p5_3","10"
"22245","practice_distributeBW","2020-08-12T07:04:13Z","p5_2","10"
"22246","clientLogIn","2020-08-12T07:04:14Z","clientId","p3"
"22246","clientLogIn","2020-08-12T07:04:14Z","referer","http://yanzuxu.nat300.top/game/193/811/p3/connected"
"22246","clientLogIn","2020-08-12T07:04:14Z","connection","keep-alive"
"22246","clientLogIn","2020-08-12T07:04:14Z","acceptLanguage","zh-CN,zh;q=0.9"
"22246","clientLogIn","2020-08-12T07:04:14Z","acceptEncoding","gzip, deflate"
"22246","clientLogIn","2020-08-12T07:04:14Z","userAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
"22246","clientLogIn","2020-08-12T07:04:14Z","host","yanzuxu.nat300.top"
"22246","clientLogIn","2020-08-12T07:04:14Z","ipAddress","192.168.31.144"
"22246","clientLogIn","2020-08-12T07:04:14Z","requestURI","/game/193/811/p3/state"
"22247","practice_distributeBW","2020-08-12T07:04:14Z","pid","p4"
"22247","practice_distributeBW","2020-08-12T07:04:14Z","pround","1"
"22247","practice_distributeBW","2020-08-12T07:04:14Z","p4_2","1"
"22247","practice_distributeBW","2020-08-12T07:04:14Z","p4_1","1"
"22247","practice_distributeBW","2020-08-12T07:04:14Z","p4_3","1"
"22248","practice_distributeBW","2020-08-12T07:04:14Z","pid","p2"
"22248","practice_distributeBW","2020-08-12T07:04:14Z","pround","0"
"22248","practice_distributeBW","2020-08-12T07:04:14Z","p2_3","1"
"22248","practice_distributeBW","2020-08-12T07:04:14Z","p2_2","1"
"22248","practice_distributeBW","2020-08-12T07:04:14Z","p2_1","1"
"22249","practice_distributeBW","2020-08-12T07:04:16Z","pid","p6"
"22249","practice_distributeBW","2020-08-12T07:04:16Z","pround","0"
"22249","practice_distributeBW","2020-08-12T07:04:16Z","p6_3","5"
"22249","practice_distributeBW","2020-08-12T07:04:16Z","p6_2","5"
"22249","practice_distributeBW","2020-08-12T07:04:16Z","p6_1","5"
"22250","StartedTutorial","2020-08-12T07:04:21Z","pid","p3"
"22251","practice_distributeBW","2020-08-12T07:04:23Z","pid","p2"
"22251","practice_distributeBW","2020-08-12T07:04:23Z","pround","1"
"22251","practice_distributeBW","2020-08-12T07:04:23Z","p2_3","1"
"22251","practice_distributeBW","2020-08-12T07:04:23Z","p2_2","1"
"22251","practice_distributeBW","2020-08-12T07:04:23Z","p2_1","1"
"22252","practice_distributeBW","2020-08-12T07:04:29Z","pid","p6"
"22252","practice_distributeBW","2020-08-12T07:04:29Z","pround","1"
"22252","practice_distributeBW","2020-08-12T07:04:29Z","p6_3","5"
"22252","practice_distributeBW","2020-08-12T07:04:29Z","p6_2","5"
"22252","practice_distributeBW","2020-08-12T07:04:29Z","p6_1","5"
"22253","practice_distributeBW","2020-08-12T07:04:30Z","pid","p5"
"22253","practice_distributeBW","2020-08-12T07:04:30Z","pround","1"
"22253","practice_distributeBW","2020-08-12T07:04:30Z","p5_1","25"
"22253","practice_distributeBW","2020-08-12T07:04:30Z","p5_3","5"
"22253","practice_distributeBW","2020-08-12T07:04:30Z","p5_2","5"
"22254","practice_distributeBW","2020-08-12T07:04:36Z","p3_2","12"
"22254","practice_distributeBW","2020-08-12T07:04:36Z","p3_1","32"
"22254","practice_distributeBW","2020-08-12T07:04:36Z","pid","p3"
"22254","practice_distributeBW","2020-08-12T07:04:36Z","pround","0"
"22254","practice_distributeBW","2020-08-12T07:04:36Z","p3_3","8"
"22255","Test1","2020-08-12T07:04:38Z","pid","p4"
"22255","Test1","2020-08-12T07:04:38Z","passed","true"
"22255","Test1","2020-08-12T07:04:38Z","answer","Total Internet (Mbps) you have received."
"22256","Test2","2020-08-12T07:04:41Z","pid","p4"
"22256","Test2","2020-08-12T07:04:41Z","passed","true"
"22256","Test2","2020-08-12T07:04:41Z","answer","You have to make the sharing decision within 90 seconds."
"22257","Test1","2020-08-12T07:04:43Z","pid","p2"
"22257","Test1","2020-08-12T07:04:43Z","passed","true"
"22257","Test1","2020-08-12T07:04:43Z","answer","Total Internet (Mbps) you have received."
"22258","Test1","2020-08-12T07:04:46Z","pid","p6"
"22258","Test1","2020-08-12T07:04:46Z","passed","true"
"22258","Test1","2020-08-12T07:04:46Z","answer","Total Internet (Mbps) you have received."
"22259","Test2","2020-08-12T07:04:48Z","pid","p2"
"22259","Test2","2020-08-12T07:04:48Z","passed","true"
"22259","Test2","2020-08-12T07:04:48Z","answer","You have to make the sharing decision within 90 seconds."
"22260","Test2","2020-08-12T07:04:49Z","pid","p6"
"22260","Test2","2020-08-12T07:04:49Z","passed","true"
"22260","Test2","2020-08-12T07:04:49Z","answer","You have to make the sharing decision within 90 seconds."
"22273","Test3","2020-08-12T07:04:50Z","pid","p2"
"22273","Test3","2020-08-12T07:04:50Z","passed","true"
"22273","Test3","2020-08-12T07:04:50Z","answer","Player 'E' is one of players with whom you can share your Internet."
"22274","practice_distributeBW","2020-08-12T07:04:50Z","pid","p3"
"22274","practice_distributeBW","2020-08-12T07:04:50Z","pround","1"
"22274","practice_distributeBW","2020-08-12T07:04:50Z","p3_3","42"
